Images	Registration Score	Mean ON	Mean OFF	Separation Metric	Num ON	Signal To Noise	Cut Off	Focus Score 1
R07C01_4_Channel2	0	14651.69	2137.426	143671	1090722	2.015089	6662	
R07C01_5_Swath1_Channel1	1.558694	10850.25	1388.24	153905	1474050	2.116072	4744	0.5397078
R07C01_5_Swath1_Channel2	1.558694	15238.46	2184.619	129425	1088603	2.015898	6875	0.4752345
R07C01_5_Channel1	0	10850.25	1388.24	153905	1474050	2.116072	4744	
R07C01_5_Channel2	0	15238.46	2184.619	129425	1088603	2.015898	6875	
R08C01_1_Swath1_Channel1	1.558263	10490.96	1233.821	164937	1539913	2.073151	4255	0.5309561
R08C01_1_Swath1_Channel2	1.558263	14068.39	2051.664	143174	1096157	2.0181	6387	0.4607449
R08C01_1_Channel1	0	10490.96	1233.821	164937	1539913	2.073151	4255	
R08C01_1_Channel2	0	14068.39	2051.664	143174	1096157	2.0181	6387	
R08C01_2_Swath1_Channel1	1.560048	10625.06	1398.493	151352	1365524	2.161278	4887	0.5159087
R08C01_2_Swath1_Channel2	1.560048	13521.97	1903.367	129888	1022217	1.971132	6119	0.4473923
R08C01_2_Channel1	0	10625.06	1398.493	151352	1365524	2.161278	4887	
R08C01_2_Channel2	0	13521.97	1903.367	129888	1022217	1.971132	6119	
R08C01_3_Swath1_Channel1	1.549983	10697.06	1362.393	144767	1308949	2.16815	4907	0.507385
R08C01_3_Swath1_Channel2	1.549983	13743.46	1788.035	133276	958510	1.978167	6141	0.4241174
R08C01_3_Channel1	0	10697.06	1362.393	144767	1308949	2.16815	4907	
R08C01_3_Channel2	0	13743.46	1788.035	133276	958510	1.978167	6141	
R08C01_4_Swath1_Channel1	1.544611	10936.12	1332.439	143843	1289292	2.143939	4866	0.5014923
R08C01_4_Swath1_Channel2	1.544611	14422.27	1796.025	127737	915560	1.975838	6439	0.3944158
R08C01_4_Channel1	0	10936.12	1332.439	143843	1289292	2.143939	4866	
R08C01_4_Channel2	0	14422.27	1796.025	127737	915560	1.975838	6439	
R08C01_5_Swath1_Channel1	1.528418	10668.97	1276.243	143345	1242250	2.125877	4769	0.4911236
R08C01_5_Swath1_Channel2	1.528418	14599.71	1718.507	121812	869574	1.956723	6540	0.3653015
R08C01_5_Channel1	0	10668.97	1276.243	143345	1242250	2.125877	4769	
R08C01_5_Channel2	0	14599.71	1718.507	121812	869574	1.956723	6540	
Serial Number: 206103240009   Descriptor: BeadChip 8x5   ScanSetting Name: Methylation NXT
Serial Number: 206103240009   ScanSetting Path: C:\Program Files (x86)\Illumina\iScan Control Software\Scan Settings\iScanPlus\Methylation NXT.scst
Serial Number: 206103240009   Core pitch from SDF: 2.4
<?xml version="1.0"?>
<ScanSettings xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:xsd="http://www.w3.org/2001/XMLSchema">
  <Version>16</Version>
  <Assay />
  <ScanSettingType>System</ScanSettingType>
  <ArrayType>BeadChip</ArrayType>
  <SaveImages>true</SaveImages>
  <ImageFormat>Jpeg</ImageFormat>
  <JpegQuality>5</JpegQuality>
  <Channels>
    <string>Grn</string>
    <string>Red</string>
  </Channels>
  <EnableAnalysis>true</EnableAnalysis>
  <ExtractionMethod>AVG_3x3_SHARP</ExtractionMethod>
  <BackgroundMethod>BOX_17x17</BackgroundMethod>
  <RegistrationQuality>
    <CheckMinimum>true</CheckMinimum>
    <CheckMaximum>true</CheckMaximum>
    <Minimum>0.75</Minimum>
    <Maximum>100</Maximum>
  </RegistrationQuality>
  <Saturation>
    <CheckMinimum>true</CheckMinimum>
    <CheckMaximum>true</CheckMaximum>
    <Minimum>0</Minimum>
    <Maximum>1000</Maximum>
  </Saturation>
  <FocusQuality>
    <CheckMinimum>true</CheckMinimum>
    <CheckMaximum>true</CheckMaximum>
    <Minimum>-100</Minimum>
    <Maximum>100</Maximum>
  </FocusQuality>
  <Percentile05BeadIntensity>
    <CheckMinimum>true</CheckMinimum>
    <CheckMaximum>true</CheckMaximum>
    <Minimum>-1000</Minimum>
    <Maximum>50000</Maximum>
  </Percentile05BeadIntensity>
  <Percentile95BeadIntensity>
    <CheckMinimum>true</CheckMinimum>
    <CheckMaximum>true</CheckMaximum>
    <Minimum>-1000</Minimum>
    <Maximum>90000</Maximum>
  </Percentile95BeadIntensity>
  <ExportBeadData>false</ExportBeadData>
  <IncludeXYInBeadData>false</IncludeXYInBeadData>
  <ExportBeadTypeData>false</ExportBeadTypeData>
  <IncludeOutliers>false</IncludeOutliers>
  <PerformRegistrationRetry>false</PerformRegistrationRetry>
  <RegistrationRetryDll>RegSupport1.6.2.44</RegistrationRetryDll>
  <GreenChannelFilter />
  <RedChannelFilter />
  <RegSupportDLL>Register522</RegSupportDLL>
  <Resolution>HighRes1x1</Resolution>
  <ScanVelocity>1.25</ScanVelocity>
  <DynamicFocusSettings>
    <MaxInitialZJumpHalfUm>3</MaxInitialZJumpHalfUm>
    <MaxSubsequentZJumpHalfUm>5</MaxSubsequentZJumpHalfUm>
    <NumberOfInitialZJumps>5</NumberOfInitialZJumps>
    <CVGainStart>500</CVGainStart>
    <CVGainPosLocked>500</CVGainPosLocked>
    <Offset>250</Offset>
    <HotPixel>350</HotPixel>
    <MotorDelayFrames>20</MotorDelayFrames>
	<DitherSize>250</DitherSize>
	<IntensityCeiling>65535</IntensityCeiling>
	<IGain>0</IGain>
	<IHistory>4</IHistory>
  </DynamicFocusSettings>
  <ZFocusOffset>0</ZFocusOffset>
  <CreateIDATsDespiteBadRegistration>true</CreateIDATsDespiteBadRegistration>
  <FocusArchitecture>ReflectiveFocusDynamicScan</FocusArchitecture>
  <SwathFocusMode>PerSection</SwathFocusMode>
  <OutlierRemovalLowRepHighVariance>false</OutlierRemovalLowRepHighVariance>
  <OutlierRemovalLowerMinBeadThreshold>true</OutlierRemovalLowerMinBeadThreshold>
  <CorrectCrossTalk>false</CorrectCrossTalk>
  <FixTapBoundaries>false</FixTapBoundaries>
  <EnableGridCorrection>true</EnableGridCorrection>
</ScanSettings>

